Course Name,Course Code,Total Classes,studentID,attendance
Applied Science,ge101,60,100101,45
Applied Science,ge101,60,100102,42
Applied Science,ge101,60,100103,34
Applied Science,ge101,60,100104,46
Applied Science,ge101,60,100105,41
Applied Science,ge101,60,100106,42
Engg Mathematics,me101,60,100101,43
Engg Mathematics,me101,60,100103,41
Engg Mathematics,me101,60,100105,52
Engg Mathematics,me101,60,100104,52
Engg Physics,ge103,60,100105,25
Engg Physics,ge103,60,100102,31
Engg Physics,ge103,60,100103,36
Engg Physics,ge103,60,100104,15
Engg Physics,ge103,60,100107,14
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
Molecular Chemistry,ge102,60,100103,45
X,sc102,60,100101,45
X,sc102,60,100102,45
X,sc102,60,100103,45
X,sc102,60,100104,45
E.Physics  P2  ,GE113,60,100107,0
E.Physics  P2  ,GE113,60,100111,0
E.Physics  P2  ,GE113,60,100107,0
E.Physics  P2  ,GE113,60,100111,0
